Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
11:36:06.802 AM 2026-08-04 	 4.023971 	 297.647000 	 44.546000 	 -106.625742 	 4.012862 	 297.647000 	 44.546000 	 -106.625742 	 108.705445 	 108.879897 	 298.683011
11:36:11.899 AM 2026-08-04 	 4.018744 	 297.647000 	 44.546000 	 -105.844822 	 3.998765 	 297.647000 	 44.546000 	 -105.844822 	 108.705505 	 108.880194 	 298.683110
11:36:17.031 AM 2026-08-04 	 4.026712 	 297.647000 	 44.546000 	 -106.285633 	 4.016088 	 297.647000 	 44.546000 	 -106.285633 	 108.705862 	 108.880135 	 298.682639
11:36:22.173 AM 2026-08-04 	 4.026808 	 297.647000 	 44.546000 	 -107.362608 	 4.019472 	 297.647000 	 44.546000 	 -107.362608 	 108.705624 	 108.881028 	 298.682491
11:36:27.327 AM 2026-08-04 	 4.023396 	 297.647000 	 44.546000 	 -106.408218 	 4.017679 	 297.647000 	 44.546000 	 -106.408218 	 108.705803 	 108.881981 	 298.682714
11:36:32.450 AM 2026-08-04 	 4.031478 	 297.647000 	 44.546000 	 -106.469067 	 4.010164 	 297.647000 	 44.546000 	 -106.469067 	 108.705743 	 108.882220 	 298.682293
11:36:37.632 AM 2026-08-04 	 4.028606 	 297.647000 	 44.546000 	 -106.073554 	 4.010993 	 297.647000 	 44.546000 	 -106.073554 	 108.705684 	 108.882101 	 298.682689
11:36:42.797 AM 2026-08-04 	 4.022477 	 297.647000 	 44.546000 	 -106.444749 	 3.999302 	 297.647000 	 44.546000 	 -106.444749 	 108.705981 	 108.881624 	 298.682367
11:36:47.954 AM 2026-08-04 	 4.028483 	 297.647000 	 44.546000 	 -105.914661 	 4.012494 	 297.647000 	 44.546000 	 -105.914661 	 108.705803 	 108.881326 	 298.682020
11:36:53.095 AM 2026-08-04 	 4.024943 	 297.647000 	 44.546000 	 -105.075364 	 4.012377 	 297.647000 	 44.546000 	 -105.075364 	 108.706101 	 108.882101 	 298.681549
11:36:58.241 AM 2026-08-04 	 4.023577 	 297.647000 	 44.546000 	 -105.837491 	 4.018018 	 297.647000 	 44.546000 	 -105.837491 	 108.706041 	 108.882398 	 298.681400
