Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
1:13:55.463 AM 2026-08-02 	 1.864209 	 0.990193 	 295.783741 	 295.327124 	 -66358.608910 	 -66358.608910 	 295.381072 	 295.292047
1:14:00.591 AM 2026-08-02 	 1.758787 	 0.081383 	 295.784967 	 295.325591 	 -66358.614995 	 -66358.614995 	 295.424897 	 295.295370
1:14:05.745 AM 2026-08-02 	 2.795394 	 0.613369 	 295.784967 	 295.325898 	 -66358.645416 	 -66358.645416 	 295.393938 	 295.295965
1:14:10.925 AM 2026-08-02 	 1.630470 	 1.611096 	 295.784507 	 295.326664 	 -66358.657584 	 -66358.657584 	 295.417065 	 295.324279
1:14:16.046 AM 2026-08-02 	 2.117071 	 1.262484 	 295.783587 	 295.327890 	 -66358.621079 	 -66358.621079 	 295.418329 	 295.290213
1:14:21.180 AM 2026-08-02 	 2.325902 	 0.265513 	 295.784967 	 295.325131 	 -66358.694090 	 -66358.694090 	 295.423337 	 295.302288
1:14:26.320 AM 2026-08-02 	 2.027751 	 0.067277 	 295.782821 	 295.326357 	 -66358.688006 	 -66358.688006 	 295.399293 	 295.297082
1:14:31.452 AM 2026-08-02 	 1.906227 	 1.095482 	 295.783894 	 295.327890 	 -66358.681922 	 -66358.681922 	 295.417165 	 295.279156
1:14:36.602 AM 2026-08-02 	 1.318230 	 0.747374 	 295.782975 	 295.327890 	 -66358.681922 	 -66358.681922 	 295.413868 	 295.292346
1:14:41.748 AM 2026-08-02 	 0.995422 	 0.273573 	 295.783587 	 295.328810 	 -66358.706259 	 -66358.706259 	 295.393716 	 295.291032
1:14:46.903 AM 2026-08-02 	 2.124619 	 0.861982 	 295.782515 	 295.330495 	 -66358.663669 	 -66358.663669 	 295.426038 	 295.301693
1:14:52.007 AM 2026-08-02 	 2.656257 	 0.776341 	 295.783281 	 295.331875 	 -66358.791439 	 -66358.791439 	 295.397833 	 295.300331
1:14:57.145 AM 2026-08-02 	 1.267657 	 0.905559 	 295.783741 	 295.334174 	 -66358.761018 	 -66358.761018 	 295.408069 	 295.309157
1:15:02.257 AM 2026-08-02 	 2.097949 	 0.869791 	 295.782975 	 295.334634 	 -66358.785355 	 -66358.785355 	 295.392156 	 295.271571
1:15:07.392 AM 2026-08-02 	 1.742685 	 0.864753 	 295.782055 	 295.335553 	 -66358.913127 	 -66358.913127 	 295.411047 	 295.298945
1:15:12.523 AM 2026-08-02 	 2.678650 	 0.137554 	 295.781902 	 295.334480 	 -66359.004394 	 -66359.004394 	 295.388343 	 295.310624
1:15:17.639 AM 2026-08-02 	 1.332319 	 0.674830 	 295.783281 	 295.335247 	 -66359.004394 	 -66359.004394 	 295.399175 	 295.301674
