# Mahboub et al. (2026) - Benchtop Conductivity Measurements
#
# Instrument: Thermo Scientific ORION Star A329 Conductivity Meter
# Reference: See Mahboub et al. (2026) manuscript for full methodology
#
# Data description:
# - All measurements from benchtop conductivity probe
# - Gamry impedance data analyzed separately from raw Gamry files
# - Three replicates per condition
# - Temperatures: -10°C, -6°C, -3°C, -1°C, 5°C, 20°C, 25°C
# - Compounds: NaCl, MgSO4, NH4Cl, Na2CO3, Mixture (1:1:1 MgSO4:NaCl:Na2CO3)
#
# Columns:
#   compound: Chemical formula
#   concentration_molal: Molality (mol/kg_H2O)
#   temperature_C: Temperature (Celsius)
#   temperature_K: Temperature (Kelvin)
#   conductivity_Sm: Conductivity (S/m)
#   source: Data source ('benchtop' for all entries)
#   notes: Additional notes (e.g., original concentration in g/kg)
#
compound,concentration_molal,temperature_C,temperature_K,conductivity_Sm,replicate,source,notes
# NaCl benchtop data - concentrations in mol/kg (molal), converted from g/kg by dividing by molar mass 58.44
NH4Cl,0.9347,25,298.15,10.35,1,benchtop,50 g/kg / 53.491
NH4Cl,1.4021,25,298.15,14.94,1,benchtop,75 g/kg / 53.491
NH4Cl,1.8695,25,298.15,19.26,1,benchtop,100 g/kg / 53.491
NH4Cl,0.1869,25,298.15,2.318,2,benchtop,
NH4Cl,0.9347,25,298.15,10.36,2,benchtop,
NH4Cl,1.4021,25,298.15,14.89,2,benchtop,
NH4Cl,1.8695,25,298.15,19.03,2,benchtop,
NH4Cl,0.1869,25,298.15,2.332,3,benchtop,
NH4Cl,0.9347,25,298.15,10.42,3,benchtop,
NH4Cl,1.4021,25,298.15,14.72,3,benchtop,
NH4Cl,1.8695,25,298.15,19.09,3,benchtop,
NH4Cl,0.1869,20,293.15,2.121,1,benchtop,10 g/kg / 53.491
NH4Cl,0.9347,20,293.15,9.406,1,benchtop,50 g/kg / 53.491
NH4Cl,1.4021,20,293.15,13.58,1,benchtop,75 g/kg / 53.491
NH4Cl,1.8695,20,293.15,17.51,1,benchtop,100 g/kg / 53.491
NH4Cl,0.1869,20,293.15,2.107,2,benchtop,
NH4Cl,0.9347,20,293.15,9.422,2,benchtop,
NH4Cl,1.4021,20,293.15,13.54,2,benchtop,
NH4Cl,1.8695,20,293.15,17.3,2,benchtop,
NH4Cl,0.1869,20,293.15,2.12,3,benchtop,
NH4Cl,0.9347,20,293.15,9.47,3,benchtop,
NH4Cl,1.4021,20,293.15,13.38,3,benchtop,
NH4Cl,1.8695,20,293.15,17.35,3,benchtop,
NH4Cl,0.1869,5,278.15,1.535,1,benchtop,10 g/kg / 53.491
NH4Cl,0.9347,5,278.15,6.843,1,benchtop,50 g/kg / 53.491
NH4Cl,1.4021,5,278.15,10,1,benchtop,75 g/kg / 53.491
NH4Cl,1.8695,5,278.15,13.13,1,benchtop,100 g/kg / 53.491
NH4Cl,0.1869,5,278.15,1.537,2,benchtop,
NH4Cl,0.9347,5,278.15,6.979,2,benchtop,
NH4Cl,1.4021,5,278.15,9.993,2,benchtop,
NH4Cl,1.8695,5,278.15,13.09,2,benchtop,
NH4Cl,0.1869,5,278.15,1.576,3,benchtop,
NH4Cl,0.9347,5,278.15,6.904,3,benchtop,
NH4Cl,1.4021,5,278.15,9.921,3,benchtop,
NH4Cl,1.8695,5,278.15,12.94,3,benchtop,
NH4Cl,0.1869,-1,272.15,1.355,1,benchtop,10 g/kg / 53.491
NH4Cl,0.9347,-1,272.15,5.897,1,benchtop,50 g/kg / 53.491
NH4Cl,1.4021,-1,272.15,8.656,1,benchtop,75 g/kg / 53.491
NH4Cl,1.8695,-1,272.15,11.54,1,benchtop,100 g/kg / 53.491
NH4Cl,0.1869,-1,272.15,1.312,2,benchtop,
NH4Cl,0.9347,-1,272.15,6.068,2,benchtop,
NH4Cl,1.4021,-1,272.15,8.568,2,benchtop,
NH4Cl,1.8695,-1,272.15,11.33,2,benchtop,
NH4Cl,0.1869,-1,272.15,1.336,3,benchtop,
NH4Cl,0.9347,-1,272.15,5.983,3,benchtop,
NH4Cl,1.4021,-1,272.15,8.584,3,benchtop,
NH4Cl,1.8695,-1,272.15,10.92,3,benchtop,
NH4Cl,0.1869,-3,270.15,1.253,1,benchtop,10 g/kg / 53.491
NH4Cl,0.9347,-3,270.15,5.491,1,benchtop,50 g/kg / 53.491
NH4Cl,1.4021,-3,270.15,8.188,1,benchtop,75 g/kg / 53.491
NH4Cl,1.8695,-3,270.15,10.79,1,benchtop,100 g/kg / 53.491
NH4Cl,0.1869,-3,270.15,1.258,2,benchtop,
NH4Cl,0.9347,-3,270.15,5.664,2,benchtop,
NH4Cl,1.4021,-3,270.15,8.293,2,benchtop,
NH4Cl,1.8695,-3,270.15,10.46,2,benchtop,
NH4Cl,0.1869,-3,270.15,1.27,3,benchtop,
NH4Cl,0.9347,-3,270.15,5.602,3,benchtop,
NH4Cl,1.4021,-3,270.15,8.203,3,benchtop,
NH4Cl,1.8695,-3,270.15,10.67,3,benchtop,
NH4Cl,0.1869,-6,267.15,1.224,1,benchtop,10 g/kg / 53.491
NH4Cl,0.9347,-6,267.15,5.207,1,benchtop,50 g/kg / 53.491
NH4Cl,1.4021,-6,267.15,7.713,1,benchtop,75 g/kg / 53.491
NH4Cl,1.8695,-6,267.15,10.04,1,benchtop,100 g/kg / 53.491
NH4Cl,0.1869,-6,267.15,1.14,2,benchtop,
NH4Cl,0.9347,-6,267.15,5.428,2,benchtop,
NH4Cl,1.4021,-6,267.15,7.653,2,benchtop,
NH4Cl,1.8695,-6,267.15,9.849,2,benchtop,
NH4Cl,0.1869,-6,267.15,1.199,3,benchtop,
NH4Cl,0.9347,-6,267.15,5.178,3,benchtop,
NH4Cl,1.4021,-6,267.15,7.55,3,benchtop,
NH4Cl,1.8695,-6,267.15,9.877,3,benchtop,
NH4Cl,0.1869,-10,263.15,1.068,1,benchtop,10 g/kg / 53.491
NH4Cl,0.9347,-10,263.15,4.7,1,benchtop,50 g/kg / 53.491
