# Cortes et al. (2026) - Benchtop Conductivity Measurements
#
# Instrument: TBD (add details)
# Reference: See Cortes et al. (2026) manuscript for full methodology
#
# Data description:
# - All measurements from benchtop conductivity probe
# - Gamry impedance data analyzed separately from raw Gamry files
# - Temperatures: 5°C, 10°C, 20°C
# - Compounds: KCl, NaCl, Na2SO4, NaCl:MgSO4 mixtures, Na2SO4:KCl mixtures,
#              NaCl+Glycine, pure amino acids (Alanine, Aspartic Acid, Glutamic Acid, Glycine)
# - Multiple replicates per condition for NaCl and organic compounds
#
# Columns:
#   compound: Chemical formula or mixture notation
#   concentration_molal: Molality (mol/kg_H2O)
#     NOTE: Original data in M/L, assuming molal ≈ molar for dilute solutions
#   temperature_C: Temperature (Celsius)
#   temperature_K: Temperature (Kelvin)
#   conductivity_Sm: Conductivity (S/m)
#     NOTE: Converted from mS/cm by dividing by 10
#   replicate: Replicate number
#   source: Data source ('benchtop')
#   notes: Additional notes
#
compound,concentration_molal,temperature_C,temperature_K,conductivity_Sm,replicate,source,notes
NaCl,0.5,20.0,293.15,4.586,4,benchtop,"0.5 M/L, replicate 4"
NaCl,0.5,20.0,293.15,4.579,5,benchtop,"0.5 M/L, replicate 5"
NaCl,0.5,20.0,293.15,4.576,6,benchtop,"0.5 M/L, replicate 6"
NaCl,0.75,20.0,293.15,6.354,1,benchtop,"0.75 M/L, replicate 1"
NaCl,0.75,20.0,293.15,6.318,2,benchtop,"0.75 M/L, replicate 2"
NaCl,0.75,20.0,293.15,6.326,3,benchtop,"0.75 M/L, replicate 3"
NaCl,0.75,20.0,293.15,6.468999999999999,4,benchtop,"0.75 M/L, replicate 4"
NaCl,0.75,20.0,293.15,6.4590000000000005,5,benchtop,"0.75 M/L, replicate 5"
NaCl,0.75,20.0,293.15,6.456999999999999,6,benchtop,"0.75 M/L, replicate 6"
NaCl,1.0,20.0,293.15,8.027,1,benchtop,"1.0 M/L, replicate 1"
NaCl,1.0,20.0,293.15,8.033,2,benchtop,"1.0 M/L, replicate 2"
NaCl,1.0,20.0,293.15,8.039,3,benchtop,"1.0 M/L, replicate 3"
NaCl,1.0,20.0,293.15,8.399,4,benchtop,"1.0 M/L, replicate 4"
NaCl,1.0,20.0,293.15,8.431000000000001,5,benchtop,"1.0 M/L, replicate 5"
NaCl,1.0,20.0,293.15,8.429,6,benchtop,"1.0 M/L, replicate 6"
NaCl,1.5,20.0,293.15,11.45,1,benchtop,"1.5 M/L, replicate 1"
NaCl,1.5,20.0,293.15,11.42,2,benchtop,"1.5 M/L, replicate 2"
NaCl,1.5,20.0,293.15,11.43,3,benchtop,"1.5 M/L, replicate 3"
NaCl,1.5,20.0,293.15,11.629999999999999,4,benchtop,"1.5 M/L, replicate 4"
NaCl,1.5,20.0,293.15,11.66,5,benchtop,"1.5 M/L, replicate 5"
NaCl,1.5,20.0,293.15,11.68,6,benchtop,"1.5 M/L, replicate 6"
NaCl+Glycine,0.5,20.0,293.15,4.612,1,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 1"
NaCl+Glycine,0.5,20.0,293.15,4.61,2,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 2"
NaCl+Glycine,0.5,20.0,293.15,4.612,3,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 3"
NaCl+Glycine,0.5,20.0,293.15,4.4479999999999995,4,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 4"
NaCl+Glycine,0.5,20.0,293.15,4.434,5,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 5"
NaCl+Glycine,0.5,20.0,293.15,4.423,6,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 6"
NaCl+Glycine,0.75,20.0,293.15,6.517,1,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 1"
NaCl+Glycine,0.75,20.0,293.15,6.5329999999999995,2,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 2"
NaCl+Glycine,0.75,20.0,293.15,6.537000000000001,3,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 3"
NaCl+Glycine,0.75,20.0,293.15,6.4,4,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 4"
NaCl+Glycine,0.75,20.0,293.15,6.401000000000001,5,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 5"
NaCl+Glycine,0.75,20.0,293.15,6.412000000000001,6,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 6"
NaCl+Glycine,1.0,20.0,293.15,8.475,1,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 1"
NaCl+Glycine,1.0,20.0,293.15,8.492,2,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 2"
NaCl+Glycine,1.0,20.0,293.15,8.504000000000001,3,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 3"
NaCl+Glycine,1.0,20.0,293.15,8.089,4,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 4"
NaCl+Glycine,1.0,20.0,293.15,8.113,5,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 5"
NaCl+Glycine,1.0,20.0,293.15,8.108,6,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 6"
NaCl+Glycine,1.5,20.0,293.15,11.7,1,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 1"
NaCl+Glycine,1.5,20.0,293.15,11.7,2,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 2"
NaCl+Glycine,1.5,20.0,293.15,11.709999999999999,3,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 3"
NaCl+Glycine,1.5,20.0,293.15,11.5,4,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 4"
NaCl+Glycine,1.5,20.0,293.15,11.5,5,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 5"
NaCl+Glycine,1.5,20.0,293.15,11.53,6,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 6"
NaCl:MgSO4_1:1,0.5,5.0,278.15,4.632,1,benchtop,Original: 0.5 M/L
NaCl:MgSO4_1:1,0.75,5.0,278.15,5.659000000000001,1,benchtop,Original: 0.75 M/L
NaCl:MgSO4_1:1,1.0,5.0,278.15,6.459999999999999,1,benchtop,Original: 1.0 M/L
NaCl:MgSO4_1:1,1.5,5.0,278.15,6.865,1,benchtop,Original: 1.5 M/L
NaCl:MgSO4_1:1,0.5,10.0,283.15,5.25,1,benchtop,Original: 0.5 M/L
NaCl:MgSO4_1:1,0.75,10.0,283.15,6.470999999999999,1,benchtop,Original: 0.75 M/L
NaCl:MgSO4_1:1,1.0,10.0,283.15,7.223000000000001,1,benchtop,Original: 1.0 M/L
NaCl:MgSO4_1:1,1.5,10.0,283.15,7.574,1,benchtop,Original: 1.5 M/L
NaCl:MgSO4_1:1,0.5,20.0,293.15,6.909000000000001,1,benchtop,Original: 0.5 M/L
NaCl:MgSO4_1:1,0.75,20.0,293.15,8.609,1,benchtop,Original: 0.75 M/L
NaCl:MgSO4_1:1,1.0,20.0,293.15,9.76,1,benchtop,Original: 1.0 M/L
NaCl:MgSO4_1:1,1.5,20.0,293.15,10.41,1,benchtop,Original: 1.5 M/L
NaCl:MgSO4_1:2,0.75,5.0,278.15,5.452,1,benchtop,0.75:1.5 M/L NaCl:MgSO4
NaCl:MgSO4_1:2,0.75,10.0,283.15,6.247999999999999,1,benchtop,0.75:1.5 M/L NaCl:MgSO4
NaCl:MgSO4_1:2,0.75,20.0,293.15,8.095,1,benchtop,0.75:1.5 M/L NaCl:MgSO4
NaCl:MgSO4_2:1,1.5,5.0,278.15,8.017,1,benchtop,1.5:0.75 M/L NaCl:MgSO4
NaCl:MgSO4_2:1,1.5,10.0,283.15,9.098,1,benchtop,1.5:0.75 M/L NaCl:MgSO4
NaCl:MgSO4_2:1,1.5,20.0,293.15,11.559999999999999,1,benchtop,1.5:0.75 M/L NaCl:MgSO4
