Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
5:53:32.689 AM 2026-08-31 	 90.566272 	 89.625379 	 303.011449 	 294.925440 	 -66290.480664 	 -66290.480664 	 295.053516 	 295.111013
5:53:37.776 AM 2026-08-31 	 90.899396 	 88.799440 	 303.013907 	 294.924980 	 -66290.323562 	 -66290.323562 	 295.049102 	 295.098117
5:53:42.902 AM 2026-08-31 	 90.878261 	 89.201704 	 303.015903 	 294.926206 	 -66290.184590 	 -66290.184590 	 295.024023 	 295.105559
5:53:48.028 AM 2026-08-31 	 90.039415 	 89.772985 	 303.018053 	 294.925746 	 -66290.051662 	 -66290.051662 	 295.014994 	 295.114910
5:53:53.122 AM 2026-08-31 	 90.469908 	 88.935207 	 303.018360 	 294.924980 	 -66290.124168 	 -66290.124168 	 295.026132 	 295.115679
5:53:58.317 AM 2026-08-31 	 90.524255 	 89.658376 	 303.017746 	 294.925593 	 -66289.912694 	 -66289.912694 	 295.046475 	 295.122352
5:54:03.462 AM 2026-08-31 	 90.454560 	 89.543516 	 303.018514 	 294.926053 	 -66289.785812 	 -66289.785812 	 295.028987 	 295.107223
5:54:08.593 AM 2026-08-31 	 91.104201 	 89.572483 	 303.018821 	 294.926359 	 -66289.791854 	 -66289.791854 	 295.017700 	 295.102064
5:54:13.730 AM 2026-08-31 	 90.995508 	 89.541752 	 303.021586 	 294.925746 	 -66289.640805 	 -66289.640805 	 295.029807 	 295.108043
5:54:18.838 AM 2026-08-31 	 90.140811 	 89.303719 	 303.023428 	 294.926512 	 -66289.592470 	 -66289.592470 	 295.026781 	 295.111615
5:54:23.937 AM 2026-08-31 	 90.271393 	 89.825630 	 303.022507 	 294.927432 	 -66289.526010 	 -66289.526010 	 295.020381 	 295.103802
5:54:29.057 AM 2026-08-31 	 90.338320 	 90.025880 	 303.021432 	 294.928198 	 -66289.429342 	 -66289.429342 	 295.024227 	 295.100578
5:54:34.223 AM 2026-08-31 	 90.966574 	 89.488100 	 303.022661 	 294.929884 	 -66289.381008 	 -66289.381008 	 295.025914 	 295.098966
5:54:39.321 AM 2026-08-31 	 90.426884 	 88.998431 	 303.022200 	 294.929271 	 -66289.326633 	 -66289.326633 	 295.012493 	 295.115709
5:54:44.473 AM 2026-08-31 	 90.165720 	 89.696915 	 303.022507 	 294.929577 	 -66289.187675 	 -66289.187675 	 295.028421 	 295.111841
5:54:49.602 AM 2026-08-31 	 90.830708 	 89.341250 	 303.022200 	 294.930037 	 -66289.115177 	 -66289.115177 	 295.028595 	 295.111072
5:54:54.718 AM 2026-08-31 	 90.386376 	 89.877518 	 303.023582 	 294.930650 	 -66288.970181 	 -66288.970181 	 295.013860 	 295.110478
5:54:59.874 AM 2026-08-31 	 90.907698 	 89.012033 	 303.023275 	 294.931723 	 -66288.939973 	 -66288.939973 	 295.016564 	 295.104699
5:55:05.021 AM 2026-08-31 	 90.947955 	 89.801700 	 303.026039 	 294.931723 	 -66288.873518 	 -66288.873518 	 295.026190 	 295.127989
5:55:10.116 AM 2026-08-31 	 90.061556 	 88.908507 	 303.027422 	 294.930803 	 -66288.758732 	 -66288.758732 	 295.025249 	 295.100186
5:55:15.253 AM 2026-08-31 	 90.964058 	 88.606242 	 303.029418 	 294.931876 	 -66288.662072 	 -66288.662072 	 295.014954 	 295.098848
5:55:20.355 AM 2026-08-31 	 91.088350 	 89.192384 	 303.031722 	 294.933102 	 -66288.577494 	 -66288.577494 	 295.037232 	 295.111696
5:55:25.506 AM 2026-08-31 	 91.651942 	 88.984829 	 303.032950 	 294.936933 	 -66288.456671 	 -66288.456671 	 295.010812 	 295.110730
5:55:30.652 AM 2026-08-31 	 90.162952 	 89.276767 	 303.032029 	 294.939538 	 -66288.432507 	 -66288.432507 	 295.027211 	 295.111102
5:55:35.782 AM 2026-08-31 	 90.790954 	 89.902203 	 303.028189 	 294.943369 	 -66288.420424 	 -66288.420424 	 295.003593 	 295.114823
5:55:40.927 AM 2026-08-31 	 91.229499 	 89.057121 	 303.025271 	 294.945055 	 -66288.402301 	 -66288.402301 	 295.036042 	 295.119461
5:55:46.031 AM 2026-08-31 	 90.389647 	 89.221351 	 303.022507 	 294.947660 	 -66288.408342 	 -66288.408342 	 295.043608 	 295.107233
5:55:51.141 AM 2026-08-31 	 90.130244 	 88.789616 	 303.022200 	 294.947967 	 -66288.366055 	 -66288.366055 	 295.006670 	 295.116485
5:55:56.281 AM 2026-08-31 	 90.856120 	 89.803715 	 303.021432 	 294.950725 	 -66288.360014 	 -66288.360014 	 295.041996 	 295.103736
5:56:01.431 AM 2026-08-31 	 90.656850 	 88.705486 	 303.020510 	 294.952411 	 -66288.287521 	 -66288.287521 	 295.034158 	 295.108623
5:56:06.532 AM 2026-08-31 	 90.591684 	 89.047045 	 303.020510 	 294.953944 	 -66288.257316 	 -66288.257316 	 295.024136 	 295.109913
5:56:11.688 AM 2026-08-31 	 90.017022 	 89.216062 	 303.017746 	 294.955323 	 -66288.293562 	 -66288.293562 	 295.021928 	 295.106763
5:56:16.788 AM 2026-08-31 	 89.903800 	 89.177775 	 303.015442 	 294.955783 	 -66288.384178 	 -66288.384178 	 295.030312 	 295.109019
5:56:21.930 AM 2026-08-31 	 90.138043 	 89.993890 	 303.014214 	 294.955476 	 -66288.347931 	 -66288.347931 	 295.023565 	 295.111227
5:56:27.029 AM 2026-08-31 	 90.877003 	 89.569712 	 303.012985 	 294.957622 	 -66288.414383 	 -66288.414383 	 295.010168 	 295.107258
5:56:32.210 AM 2026-08-31 	 90.385873 	 89.529662 	 303.012217 	 294.957468 	 -66288.498959 	 -66288.498959 	 295.043508 	 295.086397
5:56:37.306 AM 2026-08-31 	 90.813095 	 88.794150 	 303.009606 	 294.957622 	 -66288.631865 	 -66288.631865 	 295.022372 	 295.100138
